dealer_id,dealer_name
1,kia motors america  inc
2,financial services remarketing (lease)
3,volvo na rep/world omni
4,enterprise vehicle exchange / tra / rental / tulsa
5,the hertz corporation
6,audi mission viejo
7,d/m auto sales inc
8,desert auto trade
9,kia motors finance
10,avis rac/san leandro
11,avis tra
12,audi north scottsdale
13,wells fargo dealer services
14,midway hfc fleet/ars
15,enterprise vehicle exchange/orange
16,audi of downtown l a
17,fratelli investment group
18,rogue cu
19,avis corporation
20,american honda motor company
21,lexus financial services
22,nissan-infiniti lt
23,audi west covina
24,street smartz auto sales corporation
25,enterprise fleet management exchange  inc.
26,ag leaseplan
27,onemain rem/m&m auto traders
28,repo remarketing/visterra credit union
29,tdaf remarketing
30,lease plan usa
31,ars/acme auto leasing
32,nissan infiniti lt
33,infiniti financial services
34,hyundai buybacks
35,hyundai motor america/co car
36,hyundai motor finance
37,aaero sweet company
38,gm financial
39,hertz/tra
40,dtg operations inc
41,fox rent a car tra
42,skyhigh remarketing inc
43,enterprise veh exchange/rental
44,remarketing by ge/film vehicle services
45,jpmorgan chase bank n.a.
46,clear view systems
47,mercedes-benz financial services
48,high bid trading co inc
49,exeter finance corp
50,primeritus remarketing/oregon comm credit
51,merchants leasing
52,nissan north america inc.
53,kia motors america  inc -lemon law buybacks
54,mercedes-benz finc wholesale advantage
55,mercedes benz of temecula
56,mercedes-benz usa
57,california republic bank
58,bmw mini financial services
59,remarketing by ge/manheim southern california
60,chrysler capital
61,team nissan
62,south bay hyundai
63,south county lexus at mission viejo
64,dolan toyota scion
65,merchants automotive group
66,land rover north america llc
67,wheels exchange llc
68,caprock auto remarketing
69,mercedes benz of laguna niguel
70,sunshine autos
71,tycon enterprises
72,jaguar north america llc
73,hoehn motors inc
74,dollar thrifty damage liquidation
75,mercedes-benz finc services premier program
76,kia of cerritos
77,us bank
78,trade in solutions irvine
79,nissan dealer blend/ross nissan of el monte
80,ubs wholesale
81,vw credit
82,bmw alphera/alphera financial services
83,santander consumer
84,consolidated asset recovery systems  inc.
85,the car exchange
86,manheim san diego
87,d auto man
88,gossler motors
89,nissan motor acceptance corporation
90,toyota financial services/avis budget group-open
91,stream llc dba stream remarketing solutions
92,american car finance inc
93,sierra auto investment co
94,toyota chula vista dba scion
95,porsche financial services
96,a l financial corporation
97,lbs financial credit union
98,volvo na company cars/world omni
99,lexus of valencia
100,onemain rem/coast to coast auto group
101,bmw of riverside
102,fleet link services inc
103,ge fleet services for itself/servicer
104,american road leasing inc
105,toyota financial services
106,bank of the west
107,volvo car financial service/world omni
108,alliance motor cars
109,volkswagen of stockton
110,honda of serramonte
111,l m auto wholesale
112,remarketing by ge/flagship credit acceptance
113,i auto sales inc
114,audi san diego
115,hertz damaged liquidation
116,showcase wholesale auto llc
117,jimmy vasser toyota
118,remarketing by ge/manheim riverside
119,california auto exchange
120,palm springs nissan
121,black/white auto sales
122,advantage rent a car/hertz
123,ahfc/honda lease trust/hvt  inc. eot
124,walters auto sales/service inc
125,porsche of downtown la
126,ahfc/honda lease trust/hvt  inc.
127,mckenna audi/mckenna bmw
128,lexus of thousand oaks
129,ars/executive car leasing co
130,bmw of bakersfield
131,onemain rem/manheim san francisco bay
132,autobahn west enterprises inc
133,ford motor credit company llc pd
134,remarketing by ge/chase lease remarketing co
135,onemain rem/manheim southern california
136,hoehn honda
137,fiserv/usb dealer services northstar exchange
138,star ford lincoln
139,nvp remarketing
140,myrddin fleet services
141,mars auto
142,ford motor credit company llc
143,vpsi  inc
144,balboa thrift & loan association
145,orange county's credit union
146,galpin ford studio rentals
147,premium auto wholesale
148,san diego sports cars
149,the hertz corporation/gm
150,cig financial
151,california fleet inc
152,enterprise fm exchange/tra/lease
153,wholesale motor sales inc
154,fleet street remarketing llc
155,west coast acceptance
156,kearny pearson kia
157,california rent-a-car & leasing
158,carmax # 7159
159,farm credit leasing exchange inc
160,buyers auto sales
161,remktgedge / cars / carfinance capital llc
162,m/r motors inc
163,tradewinds remarketing
164,the motor car group inc
165,chicago motor car corporation
166,connell chevrolet
167,frank toyota
168,barber honda
169,repo remarketing/central state credit union
170,north county hyundai
171,donlen corporation
172,toyota scion of downtown la
173,land rover redwood city
174,dutton motor co
175,bell lexus
176,century dealer services corp
177,lease remarketing services inc
178,elad motors
179,remarketing by ge/southern california financial
180,jaguar land rover thousand oaks
181,mercedes benz of bakersfield
182,a and a auto mart inc
183,remarketing by ge/mission fcu
184,remarketing by ge/xpress rent a car
185,autonet trading
186,sports trend auto sales
187,sama california auto export inc
188,rd cars
189,metro nissan of montclair
190,remarketing services of el paso
191,mercedes benz of ontario
192,orange coast chrysler jeep dodge
193,downtown motors inc
194,rusnak pasadena jaguar sterling pasadena
195,remarketing by ge/finance & thrift company
196,cardinale gmc truck
197,riverside car store inc
198,corona auto wholesale inc
199,prestige auto
200,porsche of hawaii
201,o'reilly auto parts
202,first investors servicing corp
203,prestige chrysler jeep dodge
204,mossy nissan oceanside
205,fletcher jones motorcars
206,phillips auto brokerage
207,onemain rem/delta dealer
208,remarketing by ge/manheim california
209,symbolic motor cars
210,meridian remarketing
211,volvo na lemon law/world omni
212,toyota santa monica
213,apexcars net
214,south coast toyota
215,onemain rem/european motors group
216,carfinders inc
217,bmw of murrieta
218,manheim nevada
219,la costa auto sales
220,richard j bartlett jr enterprises
221,mckenna volks
222,800 loan mart
223,smith volvo inc
224,newport coast auto com
